,journal_name,frequency
0,Electrophoresis,45
1,Proteomics,571
2,Nature methods,59
3,Molecular &amp; cellular proteomics : MCP,1092
4,Journal of proteome research,1128
5,Nature,220
6,Nature biotechnology,49
7,The Journal of biological chemistry,344
8,"Science (New York, N.Y.)",110
9,Genes &amp; development,30
10,Toxicological sciences : an official journal of the Society of Toxicology,8
11,BMC bioinformatics,9
12,Genome biology,30
13,PLoS biology,29
14,The EMBO journal,133
15,Proceedings of the National Academy of Sciences of the United States of America,232
16,Journal of biology,1
17,Plant physiology,53
18,Blood,30
19,Cell stem cell,15
20,Analytical chemistry,225
21,Genome research,29
22,Molecular systems biology,88
23,PloS one,330
24,BMC genomics,90
25,Amino acids,10
26,Nature communications,1093
27,"Journal of experimental zoology. Part A, Ecological genetics and physiology",1
28,Development genes and evolution,1
29,Asian journal of andrology,1
30,Angewandte Chemie (International ed. in English),38
31,Cell,119
32,Journal of the American Society for Mass Spectrometry,35
33,Molecular plant-microbe interactions : MPMI,5
34,Molecular bioSystems,15
35,Antiviral therapy,1
36,Functional &amp; integrative genomics,2
37,Plant physiology and biochemistry : PPB,8
38,"Marine biotechnology (New York, N.Y.)",1
39,Proteomics. Clinical applications,69
40,Molecular cell,111
41,"Bioinformatics (Oxford, England)",10
42,Journal of proteomics,445
43,The Plant cell,57
44,BMC systems biology,5
45,Microbial cell factories,10
46,Circulation,18
47,Journal of separation science,2
48,Archives of microbiology,1
49,Nature protocols,8
50,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,3
51,The FEBS journal,17
52,Biological chemistry,6
53,The Plant journal : for cell and molecular biology,50
54,BMC microbiology,21
55,Molecular biology of the cell,19
56,Molecular microbiology,16
57,"Plant, cell &amp; environment",13
58,Biochemical and biophysical research communications,16
59,Biochimica et biophysica acta,18
60,Journal of virology,20
61,Molecular plant,8
62,Journal of bacteriology,16
63,Animal genetics,1
64,The Biochemical journal,25
65,Peptides,1
66,The ISME journal,43
67,"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences",5
68,Cancer research,27
69,Molecular and cellular biology,14
70,The Journal of cell biology,33
71,The American journal of pathology,6
72,Biology letters,1
73,Proteome science,27
74,"Clinical science (London, England : 1979)",1
75,Journal of mass spectrometry : JMS,4
76,Eukaryotic cell,3
77,Cell host &amp; microbe,19
78,Planta,3
79,Nature neuroscience,16
80,Insect biochemistry and molecular biology,7
81,BMC plant biology,36
82,Cell reports,292
83,Analytical and bioanalytical chemistry,25
84,Science signaling,109
85,Archives of physiology and biochemistry,1
86,Journal of molecular and cellular cardiology,13
87,Nature cell biology,43
88,Journal of visualized experiments : JoVE,2
89,mBio,57
90,"Methods (San Diego, Calif.)",4
91,Journal of cell science,47
92,SpringerPlus,2
93,American journal of physiology. Gastrointestinal and liver physiology,3
94,Journal of the American Chemical Society,16
95,Journal of the American Heart Association,6
96,Journal of extracellular vesicles,36
97,"Microbiology (Reading, England)",8
98,Clinical proteomics,70
99,Frontiers in endocrinology,14
100,BMC cell biology,1
101,International journal of proteomics,2
102,Infection and immunity,14
103,Journal of proteomics &amp; bioinformatics,3
104,Environmental microbiology,54
105,Genome medicine,7
106,Cell death and differentiation,6
107,Journal of periodontology,2
108,"Journal of immunology (Baltimore, Md. : 1950)",19
109,Scientific reports,605
110,Developmental cell,27
111,Antioxidants &amp; redox signaling,9
112,Journal of the National Cancer Institute,1
113,Nature genetics,22
114,Parasites &amp; vectors,37
115,Journal of the American Society of Nephrology : JASN,33
116,Applied and environmental microbiology,32
117,BMC biology,18
118,"Arteriosclerosis, thrombosis, and vascular biology",8
119,American journal of physiology. Cell physiology,10
120,Nature nanotechnology,3
121,Experimental gerontology,4
122,Applied microbiology and biotechnology,24
123,Biology of reproduction,4
124,eLife,220
125,PLoS genetics,39
126,Open biology,17
127,The Journal of nutrition,3
128,British journal of cancer,16
129,Mitochondrion,3
130,ACS chemical biology,44
131,Nucleic acids research,198
132,Current biology : CB,24
133,Expert review of proteomics,2
134,PLoS neglected tropical diseases,30
135,Cell communication and signaling : CCS,15
136,Frontiers in behavioral neuroscience,1
137,Frontiers in microbiology,224
138,Metallomics : integrated biometal science,7
139,Scientific data,64
140,Frontiers in plant science,184
141,The Journal of general virology,3
142,Malaria journal,1
143,Fungal genetics and biology : FG &amp; B,10
144,American journal of obstetrics and gynecology,1
145,Journal of insect physiology,4
146,The Analyst,4
147,Cellular and molecular life sciences : CMLS,26
148,Physiologia plantarum,7
149,Nature structural &amp; molecular biology,47
150,"Human reproduction (Oxford, England)",5
151,ACS nano,4
152,Frontiers in genetics,24
153,Human molecular genetics,19
154,Cell metabolism,37
155,"Comparative biochemistry and physiology. Part D, Genomics &amp; proteomics",9
156,Biofouling,3
157,Genome biology and evolution,3
158,The Journal of neuroscience : the official journal of the Society for Neuroscience,6
159,Data in brief,87
160,DNA repair,2
161,Immunogenetics,2
162,Journal of molecular endocrinology,1
163,Environmental science &amp; technology,6
164,BioMed research international,11
165,Nature medicine,17
166,EMBO reports,86
167,Plant &amp; cell physiology,9
168,Soil biology &amp; biochemistry,1
169,Pigment cell &amp; melanoma research,2
170,Journal of the American College of Cardiology,1
171,Omics : a journal of integrative biology,23
172,Journal of biotechnology,1
173,Astrobiology,4
174,Thrombosis and haemostasis,4
175,Journal of experimental botany,36
176,Cell stress &amp; chaperones,2
177,"Traffic (Copenhagen, Denmark)",2
178,Microbial pathogenesis,4
179,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,30
180,Inflammatory bowel diseases,2
181,Domestic animal endocrinology,1
182,Neuroscience,1
183,"Stem cells (Dayton, Ohio)",7
184,Molecular and biochemical parasitology,3
185,PLoS pathogens,44
186,Molecular ecology,7
187,Experimental eye research,6
188,Biomolecules,32
189,"Methods in molecular biology (Clifton, N.J.)",3
190,Molecular biology and evolution,17
191,Molecular oncology,22
192,Cell death &amp; disease,41
193,Acta tropica,4
194,PLoS computational biology,3
195,Journal of thrombosis and haemostasis : JTH,5
196,Proteomics insights,2
197,Journal of neuro-oncology,1
198,Acta chirurgiae plasticae,1
199,Mucosal immunology,1
